id,cardnumber,full_name,email,gender,month,value
1,561037059777611868,Clarabelle Bax,cbax0@cyberchimps.com,Female,8/13/2019,$55.51
2,3559858306103631,Timmy Hemstead,themstead1@usatoday.com,Female,9/30/2019,$10.58
3,3551730037177739,Hilton Whoolehan,hwhoolehan2@ustream.tv,Male,6/3/2019,$64.97
4,589385928821083069,Grier Blockwell,gblockwell3@stumbleupon.com,Female,4/22/2020,$38.32
5,060482377785648380,Eran Sorby,esorby4@sciencedirect.com,Female,9/12/2019,$6.51
6,6763447290543086784,Zacharie Mingauld,zmingauld5@nature.com,Male,10/16/2019,$56.02
7,5010121696155200,Denys Chinnick,dchinnick6@joomla.org,Male,2/20/2020,$12.14
8,3543941115802046,Korney Olpin,kolpin7@ox.ac.uk,Female,12/21/2019,$17.64
9,3582440692400706,Becca Brimman,bbrimman8@unicef.org,Female,3/31/2020,$93.90
10,6389888651687101,Nanon Coaster,ncoaster9@last.fm,Female,2/12/2020,$61.33
11,5038419769509791612,Dacy Decourt,ddecourta@163.com,Female,10/25/2019,$81.16
12,6334477588221063,Vita Woolston,vwoolstonb@edublogs.org,Female,12/29/2019,$79.75
13,30143380485872,Bonnibelle Lownes,blownesc@china.com.cn,Female,10/29/2019,$84.18
14,36144248780409,Chancey Warrillow,cwarrillowd@sina.com.cn,Male,2/12/2020,$32.67
15,3568550321348452,Gabbey Coddington,gcoddingtone@surveymonkey.com,Female,2/29/2020,$46.38
16,5161793604140297,Alan Dofty,adoftyf@t.co,Male,6/11/2019,$53.23
17,4405070142032362,Ange McCoish,amccoishg@cdbaby.com,Female,2/2/2020,$39.90
18,5641829516377649314,Alecia Stallen,astallenh@live.com,Female,11/11/2019,$80.84
19,30204057223812,Keefer Oran,korani@vistaprint.com,Male,6/17/2019,$38.31
20,3557134511319160,Courtnay Dobbyn,cdobbynj@arizona.edu,Male,7/25/2019,$16.16
21,3577159716793386,Sindee Palfreman,spalfremank@drupal.org,Female,1/14/2020,$1.89
22,6759582047510737,Windham Matussov,wmatussovl@furl.net,Male,12/19/2019,$66.29
23,6761600327345057,Milly Wise,mwisem@t-online.de,Female,3/24/2020,$28.11
24,5602232551413180,Terri M'Barron,tmbarronn@themeforest.net,Male,8/19/2019,$99.12
25,374283796051050,Liv Seger,lsegero@unesco.org,Female,6/17/2019,$60.06
26,377804484612197,Aguie Ceyssen,aceyssenp@sourceforge.net,Male,4/23/2020,$3.72
27,30207117228127,Tomasina Faltskog,tfaltskogq@mozilla.org,Female,12/27/2019,$69.89
